Episode,Score,Steps,AvgScore,Epsilon,QStates
338,0,13,0.12,0.9667,1088
339,0,7,0.12,0.9666,1088
340,0,26,0.12,0.9665,1089
341,2,48,0.13,0.9664,1097
342,0,68,0.13,0.9663,1103
343,0,8,0.13,0.9662,1104
344,0,30,0.13,0.9661,1110
345,0,21,0.13,0.9660,1111
346,0,12,0.13,0.9659,1113
347,0,23,0.12,0.9658,1114
348,1,21,0.13,0.9657,1114
349,0,8,0.13,0.9656,1115
350,0,38,0.13,0.9655,1115
351,0,8,0.13,0.9654,1115
352,0,13,0.13,0.9653,1115
353,0,6,0.13,0.9652,1116
354,0,10,0.13,0.9651,1116
355,0,21,0.13,0.9650,1117
356,0,11,0.13,0.9649,1117
357,0,27,0.13,0.9648,1122
358,0,17,0.13,0.9647,1123
359,0,32,0.13,0.9646,1123
360,0,11,0.12,0.9645,1124
361,0,9,0.12,0.9644,1125
362,0,21,0.12,0.9643,1129
363,0,5,0.12,0.9643,1129
364,0,27,0.12,0.9642,1133
365,0,71,0.12,0.9641,1136
366,0,11,0.12,0.9640,1137
367,0,7,0.12,0.9639,1137
368,0,14,0.12,0.9638,1137
369,0,34,0.12,0.9637,1137
370,1,23,0.13,0.9636,1138
371,0,6,0.13,0.9635,1138
372,1,21,0.14,0.9634,1139
373,0,24,0.14,0.9633,1140
374,0,8,0.14,0.9632,1140
375,0,15,0.13,0.9631,1143
376,0,16,0.13,0.9630,1146
377,0,16,0.13,0.9629,1147
378,0,7,0.13,0.9628,1147
379,0,15,0.12,0.9627,1147
380,0,12,0.12,0.9626,1147
381,0,11,0.12,0.9625,1150
382,0,34,0.12,0.9624,1152
383,0,6,0.12,0.9623,1152
384,0,32,0.12,0.9622,1153
385,1,21,0.13,0.9621,1154
386,0,18,0.13,0.9620,1155
387,1,11,0.13,0.9619,1156
388,0,17,0.13,0.9618,1156
389,0,15,0.12,0.9617,1159
390,0,6,0.12,0.9617,1159
391,0,28,0.12,0.9616,1160
392,0,11,0.12,0.9615,1162
393,0,18,0.11,0.9614,1163
394,0,5,0.11,0.9613,1163
395,0,48,0.11,0.9612,1164
396,2,38,0.13,0.9611,1170
397,0,34,0.12,0.9610,1172
398,0,11,0.12,0.9609,1172
399,1,21,0.12,0.9608,1175
400,1,30,0.13,0.9607,1179
401,0,12,0.13,0.9606,1179
402,0,9,0.13,0.9605,1180
403,0,13,0.13,0.9604,1181
404,1,23,0.14,0.9603,1182
405,0,15,0.14,0.9602,1182
406,1,37,0.15,0.9601,1188
407,0,17,0.15,0.9600,1188
408,0,20,0.15,0.9599,1188
409,0,39,0.15,0.9598,1191
410,2,26,0.17,0.9597,1196
411,0,7,0.17,0.9596,1196
